;;;;;;globale;;P1 info;;Info;;P2;;P3;;P4;;Bien;;Ambiance;;P5;;
Agence;Typologie de la gare;Niveau de service;Code UIC;Gare;Niveau de travaux;Glob_Mars;Glob_Sept;P1_Mars;P1_Sept;P0_Mars;P0_Sept;P2_Mars;P2_Sept;P3_Mars;P3_Sept;P4_Mars;P4_Sept;P6_Mars;P6_Sept;P7_Mars;P7_Sept;P5_Mars;P5_Sept;Ent_Sort
DGGP;24;3;271494;AEROPORT CDG2 TGV ROISSY;4;7.34;7.30;8.01;7.77;8.04;7.80;8.30;7.88;8.09;8.19;7.02;7.39;7.27;7.72;6.77;7.06;6.96;7.68;Entrants
DGGP;24;3;111849;MARNE LA VALLEE CHESSY;2;7.32;7.35;7.67;8.02;7.64;8.12;7.95;8.15;8.28;8.17;7.19;7.40;7.26;7.58;7.13;7.22;6.71;7.47;Entrants
DGGP;24;2;393702;MASSY TGV;2;7.27;7.41;8.49;8.49;8.43;8.54;8.63;8.42;8.25;7.99;7.11;7.55;7.26;7.66;6.97;7.43;7.64;7.61;Entrants
DGGP;24;3;547000;PARIS AUSTERLITZ (SURFACE pour entrants);0;7.10;7.33;8.18;7.93;8.23;8.07;8.31;7.83;8.36;7.75;7.56;7.31;7.64;7.48;7.49;7.15;7.71;7.63;Entrants
DGGP;24;3;686667;PARIS BERCY;0;7.05;7.26;8.40;8.67;8.14;8.46;8.33;8.54;7.89;8.49;7.26;7.71;7.43;7.88;7.10;7.53;6.50;7.37;Entrants
DGGP;24;3;113001;PARIS GARE DE L'EST;2;7.54;7.50;8.33;8.04;8.16;8.00;8.43;8.09;7.94;7.83;7.43;7.43;7.52;7.54;7.34;7.32;7.62;7.91;Entrants
DGGP;24;3;686006;PARIS GARE DE LYON (SURFACE pour entrants);4;7.26;7.48;7.77;8.03;7.75;8.14;7.87;7.93;7.78;8.02;7.50;7.57;7.58;7.62;7.42;7.53;7.63;7.65;Entrants
DGGP;24;3;271007;PARIS GARE DU NORD (SURFACE pour entrants);2;6.86;7.22;7.62;7.87;7.57;7.81;7.79;7.86;7.00;7.36;6.28;6.83;6.58;7.02;5.98;6.63;7.19;7.39;Entrants
DGGP;24;3;391003;PARIS MONTPARNASSE;4;6.89;7.09;7.82;7.97;7.92;8.21;7.96;8.01;7.72;7.90;6.74;7.20;6.85;7.34;6.63;7.05;7.45;7.49;Entrants
DGGP;24;3;384008;PARIS ST LAZARE;4;7.48;7.49;7.72;8.16;7.67;7.96;7.70;8.06;7.71;7.91;7.51;7.58;7.63;7.73;7.38;7.43;7.65;7.91;Entrants
CERA;Gare B;2;741132;AIX LES BAINS LE REVARD;0;7.82;7.31;9.12;8.47;9.03;8.01;9.06;8.34;8.84;8.18;8.22;7.56;8.73;7.77;7.72;7.35;8.02;7.40;Entrants
CERA;Gare B;2;743716;AMBERIEU;0;NA;7.45;NA;8.74;NA;8.60;NA;8.37;NA;8.16;NA;7.74;NA;8.25;NA;7.22;NA;6.90;Entrants
CERA;123;2;746008;ANNECY;0;7.67;7.91;8.54;8.83;8.49;8.68;8.30;8.79;8.00;8.19;7.67;7.98;7.75;8.10;7.58;7.86;7.89;8.12;Entrants
CERA;Gare B;2;713545;BEAUNE;0;NA;7.69;NA;8.67;NA;8.33;NA;8.64;NA;8.54;NA;8.13;NA;8.37;NA;7.90;NA;6.54;Entrants
CERA;123;2;300822;BELFORT MONTBELIARD TGV;0;8.43;8.49;8.48;9.26;8.49;9.08;8.39;9.34;8.83;9.31;8.68;8.87;8.66;9.18;8.70;8.56;8.14;8.19;Entrants
CERA;123;2;745000;BELLEGARDE;2;7.79;7.69;8.48;8.60;8.24;8.52;8.40;8.40;8.45;8.59;7.36;8.13;7.64;8.48;7.08;7.78;7.10;7.78;Entrants
CERA;123;2;300863;BESANCON FRANCHE COMTE TGV;0;8.07;8.04;9.00;8.76;9.03;9.00;8.88;8.62;9.12;9.20;8.29;8.17;8.71;8.51;7.86;7.83;7.86;7.99;Entrants
CERA;Gare B;2;184002;BELFORT VILLE;4;NA;6.93;NA;8.33;NA;7.84;NA;8.54;NA;7.36;NA;6.62;NA;6.98;NA;6.26;NA;7.47;Entrants
CERA;123;2;718007;BESANCON VIOTTE;0;7.63;7.75;8.43;8.48;8.21;8.30;8.45;8.54;7.84;7.89;7.76;7.88;7.97;8.18;7.55;7.58;7.63;7.28;Entrants
CERA;123;2;743005;BOURG EN BRESSE;2;7.64;7.78;8.45;8.57;8.17;8.27;8.56;8.78;7.78;8.06;7.62;7.73;7.93;7.94;7.30;7.51;7.81;8.11;Entrants
CERA;123;2;741793;BOURG ST MAURICE;NA;7.89;NA;8.35;NA;8.22;NA;8.48;NA;7.94;NA;8.27;NA;8.29;NA;8.25;NA;7.93;NA;Entrants
CERA;Gare B;2;723429;BOURGOIN JALLIEU;4;NA;7.32;NA;8.35;NA;8.06;NA;8.13;NA;7.78;NA;7.29;NA;7.53;NA;7.06;NA;6.89;Entrants
CERA;Gare B;2;725002;CHALON SUR SAÔNE;0;NA;7.52;NA;8.62;NA;8.36;NA;8.02;NA;7.98;NA;7.88;NA;8.10;NA;7.67;NA;8.06;Entrants
CERA;123;2;741009;CHAMBERY CHALLES LES EAUX;0;6.83;6.94;8.40;8.53;8.23;8.46;8.11;8.32;7.50;7.65;6.89;7.43;7.24;7.71;6.55;7.15;7.30;7.68;Entrants
CERA;123;2;734004;CLERMONT FERRAND;4;7.80;7.99;8.90;8.77;8.70;8.64;8.85;8.71;8.53;8.72;8.39;8.52;8.59;8.59;8.18;8.46;8.37;8.72;Entrants
CERA;36;3;713040;DIJON VILLE;0;7.42;7.82;8.33;8.63;8.02;8.34;8.49;8.80;8.23;8.64;7.74;8.22;8.08;8.46;7.40;7.98;7.88;8.18;Entrants
CERA;36;3;747006;GRENOBLE;0;7.38;7.59;8.29;8.37;8.11;8.34;8.26;8.37;7.94;7.97;7.55;7.51;7.74;7.61;7.36;7.40;7.73;7.83;Entrants
CERA;123;2;694109;LE CREUSOT MONTCEAU MONTCHANIN;0;7.84;8.13;8.89;8.90;8.67;8.74;8.64;8.82;8.94;9.03;7.98;8.50;8.19;8.70;7.77;8.30;7.55;8.15;Entrants
CERA;24;3;723197;LYON PART DIEU;4;6.87;6.83;7.88;7.98;7.93;8.11;7.69;7.64;7.42;7.57;6.29;6.64;6.53;6.90;6.05;6.38;7.13;7.58;Entrants
CERA;24;3;722025;LYON PERRACHE;4;7.44;7.05;8.23;8.23;8.31;8.38;8.22;8.14;8.05;8.20;7.86;7.61;8.08;7.81;7.63;7.40;8.17;8.18;Entrants
CERA;36;2;762906;LYON SAINT EXUPERY TGV;0;7.65;7.74;7.78;8.61;7.57;8.45;8.10;8.97;8.19;8.61;7.49;7.99;7.44;8.16;7.54;7.82;7.09;6.94;Entrants
CERA;Gare B;2;721159;LYON SAINT PAUL;0;NA;8.06;NA;8.93;NA;8.46;NA;9.02;NA;8.71;NA;7.80;NA;7.74;NA;7.86;NA;4.36;Entrants
CERA;123;2;725705;MACON LOCHE TGV;0;7.99;7.36;9.68;8.97;9.68;8.91;9.29;8.37;9.60;8.88;8.67;7.42;8.84;7.58;8.51;7.26;7.25;6.87;Entrants
CERA;Gare B;2;725689;MACON VILLE;0;NA;7.14;NA;9.11;NA;8.74;NA;8.66;NA;8.78;NA;8.22;NA;8.57;NA;7.87;NA;8.48;Entrants
CERA;123;2;764001;MONTELIMAR GARE SNCF;0;7.55;7.41;8.90;8.35;8.50;8.34;8.69;8.10;8.39;7.64;7.91;7.35;8.35;7.62;7.48;7.07;7.33;7.43;Entrants
CERA;Gare B;2;696328;MOULINS SUR ALLIER;4;NA;7.48;NA;8.31;NA;7.89;NA;8.35;NA;7.85;NA;7.53;NA;7.74;NA;7.33;NA;7.60;Entrants
CERA;123;2;741728;MOUTIERS SALINS;NA;8.14;NA;8.74;NA;8.98;NA;8.43;NA;8.54;NA;7.55;NA;7.78;NA;7.33;NA;8.06;NA;Entrants
CERA;123;2;696005;NEVERS;2;7.15;7.64;8.27;8.38;7.92;8.05;8.09;8.26;7.94;7.88;7.28;7.57;7.74;7.70;6.82;7.44;6.06;6.63;Entrants
CERA;Gare B;2;734053;RIOM CHATEL GUYON;0;NA;7.70;NA;8.88;NA;8.62;NA;8.78;NA;8.27;NA;7.86;NA;8.19;NA;7.52;NA;6.94;Entrants
CERA;Gare B;2;726802;ROANNE;0;NA;7.87;NA;9.06;NA;8.92;NA;8.76;NA;8.39;NA;7.91;NA;8.13;NA;7.69;NA;7.07;Entrants
CERA;Gare B;2;683003;SENS;0;NA;7.62;NA;8.66;NA;8.53;NA;8.46;NA;8.25;NA;7.93;NA;8.21;NA;7.66;NA;7.22;Entrants
CERA;123;2;726000;ST ETIENNE CHATEAUCREUX;2;7.45;7.61;8.73;8.96;8.42;8.68;8.65;8.86;7.99;8.23;7.56;7.83;7.91;8.16;7.20;7.49;7.58;8.20;Entrants
CERA;36;2;763029;VALENCE TGV RHONE ALPES SUD;2;7.60;7.93;8.02;8.62;7.99;8.52;8.12;8.77;8.82;8.81;7.44;8.27;7.53;8.46;7.36;8.08;7.33;7.74;Entrants
CERA;Gare B;2;761007;VALENCE VILLE;4;NA;7.04;NA;8.33;NA;7.96;NA;8.31;NA;7.78;NA;7.23;NA;7.41;NA;7.05;NA;7.23;Entrants
CERA;123;2;732008;VICHY;4;7.87;8.07;8.67;8.58;8.48;8.48;8.60;8.51;8.15;8.21;8.21;7.89;8.25;8.04;8.18;7.74;8.09;7.99;Entrants
CERA;Gare B;2;722587;VIENNE;0;NA;7.45;NA;8.38;NA;8.10;NA;8.41;NA;8.22;NA;7.70;NA;7.86;NA;7.55;NA;7.21;Entrants
CERA;Gare B;2;721332;VILLEFRANCHE SUR SAONE;0;NA;7.23;NA;8.03;NA;7.60;NA;8.05;NA;7.39;NA;6.97;NA;7.30;NA;6.64;NA;6.70;Entrants
CERA;Gare B;2;747287;VOIRON;2;NA;7.61;NA;8.92;NA;8.54;NA;8.74;NA;8.25;NA;7.77;NA;8.16;NA;7.37;NA;7.10;Entrants
Centre Ouest;36;3;484006;ANGERS ST LAUD;0;8.10;7.73;8.74;8.78;8.69;8.69;8.65;8.64;8.41;8.29;8.17;8.10;8.06;8.19;8.27;8.01;8.31;8.12;Entrants
Centre Ouest;123;2;476200;AURAY;0;7.24;7.31;8.65;8.71;8.16;8.30;8.04;8.32;8.32;8.44;7.14;7.45;7.25;7.43;7.04;7.46;7.58;7.55;Entrants
Centre Ouest;123;2;574004;BLOISNACHAMBORD;0;7.22;7.77;8.35;8.55;8.00;8.26;8.37;8.56;7.53;7.79;7.18;7.49;7.39;7.62;6.97;7.36;7.25;7.76;Entrants
Centre Ouest;123;2;576207;BOURGES;0;6.88;6.95;7.75;7.93;7.64;7.92;7.65;7.84;7.18;7.07;6.95;6.75;7.11;6.90;6.80;6.61;7.68;7.33;Entrants
Centre Ouest;123;2;474007;BREST;0;7.85;8.18;8.97;8.94;8.81;8.85;8.74;8.80;8.48;8.65;7.95;8.36;8.15;8.37;7.75;8.36;7.89;8.17;Entrants
Centre Ouest;123;2;597005;CHATEAUROUX;0;7.15;7.11;7.89;8.55;7.57;8.28;7.79;8.51;7.65;7.98;7.30;7.36;7.35;7.58;7.26;7.15;7.48;7.68;Entrants
Centre Ouest;Gare B;2;473207;GUINGAMP;0;NA;7.93;NA;8.69;NA;8.36;NA;8.56;NA;8.45;NA;8.23;NA;8.48;NA;7.97;NA;8.26;Entrants
